SEX,SCHLCOLL,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,180,0,0,35,0,0,0,0,0,0,480,170,325,0,0,0,50,,,,,,Arts,Chores,Class,Computer-use,Eating,Fitness,Games,Homework,Reading,Religious,Shopping,Sleepingr,Socializing,TV,Telephone,Travel,Medical-care,Personal-care
1,5,0,10,0,0,20,0,300,160,120,0,0,750,0,30,0,10,0,0,,,,,,8.045454545,23.17272727,48.85454545,22.20909091,74.89090909,20.56363636,38.77272727,124.2818182,6.618181818,10.55454545,16.59090909,522.1272727,42.62727273,126.6727273,4.236363636,83.59090909,0.954545455,35.82727273
1,5,0,5,0,0,60,0,0,0,0,0,30,635,73,384,0,100,0,20,,,,,,11.86,18.715,40.405,13.92,57.86,15.12,10.885,103.555,8.37,9.24,27.12,551.125,52.465,116.35,7.335,75.13,1.7,56.54
1,5,0,0,345,0,90,0,0,290,0,0,0,570,0,85,0,40,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,90,60,60,0,413,132,0,0,0,532,53,0,0,72,0,13,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,120,30,90,0,0,300,0,0,0,420,0,0,0,150,0,90,,,,,,,,,,,,,,,,,,,,,,,
1,5,445,0,0,60,163,0,0,0,0,0,25,415,0,0,0,262,0,65,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,50,0,0,158,0,0,0,600,0,90,0,45,0,65,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,65,60,0,0,0,0,0,0,750,0,0,0,78,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,90,90,30,240,0,0,0,0,745,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,150,45,0,0,60,0,0,500,0,0,0,355,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,100,0,0,200,0,275,0,600,0,0,0,140,0,70,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,180,0,0,30,0,0,0,0,30,0,585,15,0,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,30,0,0,100,0,0,245,30,100,15,520,20,240,0,50,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,25,0,150,0,0,0,0,595,0,560,30,0,0,15,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,0,0,0,0,0,20,420,0,60,0,95,0,110,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,25,0,0,225,0,0,1,534,0,30,35,39,0,21,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,50,0,0,0,0,0,0,690,0,575,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,275,0,118,0,0,485,10,0,7,445,15,30,0,55,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,120,60,0,270,0,0,0,480,0,90,0,90,0,90,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,165,0,0,45,0,0,0,0,0,30,600,180,90,0,260,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,60,0,0,54,130,0,290,0,0,0,345,30,0,0,105,0,80,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,150,165,0,0,0,720,0,360,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,30,0,150,90,0,0,0,600,0,315,0,85,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,2,0,0,0,0,0,0,480,0,291,1,4,0,5,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,50,0,0,0,0,0,40,1063,0,60,0,37,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,0,0,0,0,0,0,645,0,0,0,60,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,145,0,0,0,0,0,810,0,285,0,60,0,35,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,60,0,40,0,315,455,0,0,0,540,0,0,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,105,0,75,35,0,0,0,0,0,100,465,15,165,0,105,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,90,0,0,155,30,60,330,0,0,0,480,0,80,0,50,0,40,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,55,90,0,0,108,0,0,540,0,0,0,60,0,42,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,358,179,0,0,0,0,3,420,20,150,0,250,0,45,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,60,0,0,0,0,0,0,830,0,150,0,10,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,420,0,0,0,0,0,15,575,45,80,0,215,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,105,0,60,0,0,720,0,0,0,390,0,0,0,80,0,70,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,70,0,10,0,0,120,0,0,0,568,0,60,0,32,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,295,60,190,0,0,0,0,0,0,570,0,60,0,130,0,45,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,765,0,0,0,0,0,0,535,0,0,0,80,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,78,0,0,15,0,0,0,15,0,0,495,30,324,0,50,0,60,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,160,90,30,0,0,500,0,0,0,420,15,72,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,15,3,0,0,0,0,5,445,90,90,0,86,0,22,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,25,0,15,70,0,0,60,0,0,0,420,0,45,0,45,0,20,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,135,0,20,15,0,0,240,0,0,0,790,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,10,0,0,435,0,0,0,390,0,0,0,105,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,30,120,0,30,0,0,10,0,0,0,477,140,0,12,107,0,50,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,25,90,0,60,0,0,0,525,0,145,0,60,0,80,,,,,,,,,,,,,,,,,,,,,,,
1,5,120,0,0,0,150,30,0,240,0,0,0,585,0,160,0,60,0,30,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,60,0,0,95,0,0,0,0,0,0,600,90,150,0,65,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,0,70,60,45,0,0,0,0,480,0,120,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,0,0,0,15,30,0,0,160,0,0,10,480,0,0,0,39,0,30,,,,,,,,,,,,,,,,,,,,,,,
