project,men,women
Arts,8.045454545,11.86
Chores,23.17272727,18.715
Class,48.85454545,40.405
Computer-use,22.20909091,13.92
Eating,74.89090909,57.86
Fitness,20.56363636,15.12
Games,38.77272727,10.885
Homework,124.2818182,103.555
Reading,6.618181818,8.37
Religious,10.55454545,9.24
Shopping,16.59090909,27.12
Sleeping,522.1272727,551.125
Socializing,42.62727273,52.465
TV,126.6727273,116.35
Telephone,4.236363636,7.335
Travel,83.59090909,75.13
Medical-care,0.954545455,1.7
Personal-care,35.82727273,56.54
