projects,averageStartTime,averageEndTime,numEntries,longestDuration,shortestDuration,latestStartTime,earliestStartTime,latestEndTime,earliestEndTime,varianceDuration,varianceStartTime,varianceEndTime
Arts,8:02 PM,9:45 PM,1,1:43:00,1:43:00,8:02 PM,8:02 PM,9:45 PM,9:45 PM,0.00%,0.00%,0.00%
Chores,1:08 PM,10:59 AM,7,3:25:00,0:14:00,10:33 PM,12:03 AM,6:05 PM,12:17 AM,0.24%,8.87%,9.23%
Church,12:40 PM,2:56 PM,1,2:16:00,2:16:00,12:40 PM,12:40 PM,2:56 PM,2:56 PM,0.00%,0.00%,0.00%
Class,4:02 PM,5:22 PM,7,2:10:00,0:37:00,4:45 PM,2:15 PM,6:52 PM,3:25 PM,0.04%,0.19%,0.31%
Dentist,8:20 AM,11:40 AM,1,3:20:00,3:20:00,8:20 AM,8:20 AM,11:40 AM,11:40 AM,0.00%,0.00%,0.00%
Eating,2:14 PM,2:33 PM,11,1:10:00,0:05:00,7:43 PM,12:17 AM,8:03 PM,12:25 AM,0.02%,4.99%,5.14%
Fitness,2:27 PM,5:58 PM,2,5:37:00,1:25:00,6:35 PM,10:20 AM,8:00 PM,3:57 PM,1.53%,5.91%,1.42%
Food prep,3:20 PM,3:58 PM,8,1:00:00,0:19:00,6:43 PM,11:43 AM,7:43 PM,12:10 PM,0.01%,1.11%,1.23%
Socializing,7:07 PM,4:03 PM,9,5:07:00,0:25:00,10:46 PM,11:54 AM,11:18 PM,12:05 AM,0.31%,2.29%,14.66%
Games,12:51 PM,6:07 AM,8,3:23:00,0:59:00,10:03 PM,1:10 AM,7:30 PM,12:28 AM,0.17%,16.73%,11.26%
Homework,12:52 PM,11:29 AM,20,6:22:00,0:01:00,10:25 PM,12:42 AM,11:42 PM,12:00 AM,0.41%,9.31%,11.72%
Internet,10:58 AM,9:56 AM,14,2:05:00,0:01:00,11:01 PM,12:30 AM,3:33 PM,1:06 AM,0.07%,5.01%,4.08%
Personal care,11:14 AM,10:38 AM,32,2:04:00,0:06:00,11:42 PM,12:25 AM,10:36 PM,12:30 AM,0.04%,7.74%,7.58%
Reading,10:19 AM,11:48 AM,2,2:30:00,0:28:00,4:08 PM,4:30 AM,4:36 PM,7:00 AM,0.36%,11.75%,8.00%
Restaurant,3:23 PM,4:06 PM,17,2:00:00,0:09:00,9:45 PM,8:28 AM,11:45 PM,9:30 AM,0.04%,3.02%,3.41%
Shopping,4:18 PM,4:55 PM,5,0:58:00,0:01:00,4:50 PM,3:44 PM,5:45 PM,4:08 PM,0.03%,0.05%,0.09%
Sleeping,3:22 AM,11:00 AM,14,11:53:00,7:30:00,10:36 PM,12:05 AM,12:40 PM,8:21 AM,0.39%,5.52%,0.33%
Telephone,5:42 PM,5:58 PM,2,0:17:00,0:15:00,7:45 PM,3:40 PM,8:00 PM,3:57 PM,0.00%,1.45%,1.42%
Travel,2:44 PM,3:07 PM,41,5:11:00,0:01:00,11:45 PM,12:00 AM,10:46 PM,12:30 AM,0.14%,4.91%,4.80%
TV,7:28 PM,9:31 PM,4,3:05:00,1:02:00,8:36 PM,6:35 PM,10:33 PM,8:02 PM,0.16%,0.16%,0.20%
