date,startTime,endTime,duration,project,numCode,startTimeNoDate,endTimeNoDate
2/23/2017,2/23/2017 20:02,2/23/2017 21:45,1:43:00,Arts,12-arts,8:02 PM,9:45 PM
2/23/2017,2/23/2017 16:51,2/23/2017 18:05,1:14:00,Chores,2-housework,4:51 PM,6:05 PM
2/24/2017,2/24/2017 0:03,2/24/2017 0:17,0:14:00,Chores,2-housework,12:03 AM,12:17 AM
2/24/2017,2/24/2017 12:24,2/24/2017 14:43,2:19:00,Chores,2-housework,12:24 PM,2:43 PM
2/25/2017,2/25/2017 8:45,2/25/2017 9:20,0:35:00,Chores,2-housework,8:45 AM,9:20 AM
2/26/2017,2/26/2017 15:24,2/26/2017 15:40,0:16:00,Chores,2-housework,3:24 PM,3:40 PM
2/26/2017,2/26/2017 15:57,2/26/2017 16:50,0:53:00,Chores,2-housework,3:57 PM,4:50 PM
2/26/2017,2/26/2017 22:33,2/27/2017 1:58,3:25:00,Chores,2-housework,10:33 PM,1:58 AM
2/26/2017,2/26/2017 12:40,2/26/2017 14:56,2:16:00,Church,14,12:40 PM,2:56 PM
2/22/2017,2/22/2017 16:36,2/22/2017 17:29,0:53:00,Class,6-c,4:36 PM,5:29 PM
2/23/2017,2/23/2017 14:48,2/23/2017 15:25,0:37:00,Class,6-c,2:48 PM,3:25 PM
2/27/2017,2/27/2017 16:38,2/27/2017 17:58,1:20:00,Class,6-c,4:38 PM,5:58 PM
2/28/2017,2/28/2017 16:35,2/28/2017 18:03,1:28:00,Class,6-c,4:35 PM,6:03 PM
3/1/2017,3/1/2017 16:42,3/1/2017 18:52,2:10:00,Class,6-c,4:42 PM,6:52 PM
3/6/2017,3/6/2017 16:45,3/6/2017 18:14,1:29:00,Class,6-c,4:45 PM,6:14 PM
3/7/2017,3/7/2017 14:15,3/7/2017 15:38,1:23:00,Class,6-c,2:15 PM,3:38 PM
3/8/2017,3/8/2017 8:20,3/8/2017 11:40,3:20:00,Dentist,8,8:20 AM,11:40 AM
2/22/2017,2/22/2017 11:19,2/22/2017 11:36,0:17:00,Eating,11-h,11:19 AM,11:36 AM
2/22/2017,2/22/2017 18:05,2/22/2017 18:10,0:05:00,Eating,11-h,6:05 PM,6:10 PM
2/23/2017,2/23/2017 18:40,2/23/2017 18:50,0:10:00,Eating,11-h,6:40 PM,6:50 PM
2/24/2017,2/24/2017 0:17,2/24/2017 0:25,0:08:00,Eating,11-h,12:17 AM,12:25 AM
2/24/2017,2/24/2017 16:23,2/24/2017 16:34,0:11:00,Eating,11-h,4:23 PM,4:34 PM
2/26/2017,2/26/2017 16:50,2/26/2017 18:00,1:10:00,Eating,11-h,4:50 PM,6:00 PM
2/27/2017,2/27/2017 13:56,2/27/2017 14:06,0:10:00,Eating,11-h,1:56 PM,2:06 PM
2/28/2017,2/28/2017 13:20,2/28/2017 13:29,0:09:00,Eating,11-h,1:20 PM,1:29 PM
2/28/2017,2/28/2017 19:43,2/28/2017 20:03,0:20:00,Eating,11-h,7:43 PM,8:03 PM
3/1/2017,3/1/2017 12:10,3/1/2017 12:20,0:10:00,Eating,11-h,12:10 PM,12:20 PM
3/5/2017,3/5/2017 16:00,3/5/2017 16:30,0:30:00,Eating,11-h,4:00 PM,4:30 PM
2/22/2017,2/22/2017 18:35,2/22/2017 20:00,1:25:00,Fitness,13,6:35 PM,8:00 PM
2/25/2017,2/25/2017 10:20,2/25/2017 15:57,5:37:00,Fitness,13,10:20 AM,3:57 PM
2/23/2017,2/23/2017 18:05,2/23/2017 18:40,0:45:00,Food prep,2-food,6:05 PM,6:40 PM
2/24/2017,2/24/2017 16:04,2/24/2017 16:23,0:19:00,Food prep,2-food,4:04 PM,4:23 PM
2/26/2017,2/26/2017 16:50,2/26/2017 17:35,0:45:00,Food prep,2-food,4:50 PM,5:35 PM
2/27/2017,2/27/2017 13:30,2/27/2017 13:56,0:26:00,Food prep,2-food,1:30 PM,1:56 PM
2/28/2017,2/28/2017 12:50,2/28/2017 13:20,0:30:00,Food prep,2-food,12:50 PM,1:20 PM
2/28/2017,2/28/2017 18:43,2/28/2017 19:43,1:00:00,Food prep,2-food,6:43 PM,7:43 PM
